participant,word ,onset,ep_type,last_sound ,context 
5,twitches ,tw ,none,n,passage 
5,throttle ,θr,none,z,passage 
5,brings ,br ,none,r,passage 
5,three ,θr,none,m,passage 
5,sleep ,sl ,none,d,passage 
5,scarlett ,sk ,none,k,passage 
5,creek ,kr ,none,r,passage 
5,plethora ,pl ,none,e,passage 
5,snow ,sn ,none,e,passage 
5,smelling ,sm ,none,z,passage 
5,brother ,br ,none,n,passage 
5,freaks ,fr ,none,i,passage 
5,start,st,none,d,passage 
5,trot ,tr ,na,na,context 
5,snaps ,sn ,na,na,context 
5,dwayne ,dw ,na,na,context 
5,cute ,kj ,na,na,context 
5,swats ,sw ,na,na,context 
5,gloves ,gl ,na,na,context 
5,smith ,sm ,na,na,context 
5,starts ,st ,na,na,context 
5,steps ,st ,na,na,context 
5,slugs ,sl ,na,na,context 
5,quacks ,kw ,na,na,context 
5,skip ,sk ,na,na,context 
5,flying ,fl ,na,na,context 
5,drink ,dr ,na,na,context 
5,grabs ,gr ,na,na,context 
5,smog ,sm ,na,na,context 
5,beautiful ,bj ,na,na,context 
5,dwarf ,dw ,na,na,context 
5,quickly ,kw ,na,na,context 
5,snoops ,sn ,na,na,context 
5,bring ,br ,na,na,context 
5,start ,st ,na,na,context 
5,flickering ,fl ,na,na,context 
5,spark ,sp ,na,na,context 
5,small ,sm ,na,na,context 
5,scoop ,sk ,na,na,context 
5,skin ,sk ,na,na,context 
5,snag ,sn ,na,na,context 
5,thread ,θr ,na,na,context 
5,sweeps ,sw ,na,na,context 
5,please ,pl ,na,na,context 
5,floor ,fl ,na,na,context 
5,thrashing ,θr,na,na,context 
5,speed ,sp ,na,na,context 
5,smiles ,sm ,na,na,context 
5,swoon ,sw ,na,na,context 
5,slouched ,sl ,na,na,context 
5,swim ,sw ,na,na,context 
5,dreaming ,dr ,na,na,context 
5,twin ,tw ,na,na,context 
5,bugle ,bj ,na,na,context 
5,clean ,kl ,na,na,context 
5,snips ,sn ,na,na,context 
5,ground ,gr ,na,na,context 
5,slips ,sl ,na,na,context 
5,place ,pl ,na,na,context 
5,tweaking ,tw ,na,na,context 
5,sweeping ,sw ,na,na,context 
5,sloth ,sl ,na,na,context 
5,spreading ,sp,na,na,context 
5,sniffs ,sn ,na,na,context 
5,flock ,fl ,na,na,context 
5,snatch ,sn ,na,na,context 
5,small ,sm ,na,na,context 
5,slow ,sl ,na,na,context 
5,stop ,st ,na,na,context 
5,smacked ,sm ,na,na,context 
5,skeptical ,sk ,na,na,context 
5,fly ,fl ,na,na,context 
5,breeze ,br ,na,na,context 
5,queen ,kw ,na,na,context 
5,twitches ,tw ,na,na,context 
5,throttle ,θr,na,na,context 
5,brings ,br ,na,na,context 
5,three ,θr,na,na,context 
5,sleep ,sl ,na,na,context 
5,scarlett ,sk ,na,na,context 
5,creek ,kr ,na,na,context 
5,plethora ,pl ,na,na,context 
5,snow ,sn ,na,na,context 
5,smelling ,sm ,na,na,context 
5,brother ,br ,na,na,context 
5,freaks ,fr ,na,na,context 
5,start,st,na,na,context 
6,trot ,tr ,none,z,passage 
6,snaps ,sn ,none,n,passage 
6,dwayne ,dw ,na,na,passage 
6,cute ,kj ,none,e,passage 
6,swats ,sw ,none,d,passage 
6,gloves ,gl ,none,l,passage 
6,smith ,sm ,na,na,passage 
6,starts ,st ,prothesis ,s,passage 
6,steps ,st ,prothesis ,n,passage 
6,slugs ,sl ,none,i,passage 
6,quacks ,kw ,na,d,passage 
6,skip ,sk ,none,n,passage 
6,flying ,fl ,none,s,passage 
6,drink ,dr ,none,i,passage 
6,grabs ,gr ,anaptyxis ,d,passage 
6,smog ,sm ,none,k,passage 
6,beautiful ,bj ,none,r,passage 
6,dwarf ,dw ,none,e,passage 
6,quickly ,kw ,none,r,passage 
6,snoops ,sn ,none,d,passage 
6,bring ,br ,none,r,passage 
6,start ,st ,prothesis ,d,passage 
6,flickering ,fl ,none,t,passage 
6,spark ,sp ,none,g,passage 
6,small ,sm ,none,s,passage 
6,scoop ,sk ,none,n,passage 
6,skin ,sk ,prothesis ,z,passage 
6,snag ,sn ,none,d,passage 
